UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
319496720,592758,2026-01-06 13:44:46,2026-01-06 13:45:40,Pilczycka / Kozanowska,Pilczycka / Kozanowska,1
319496793,591305,2026-01-06 13:46:18,2026-01-06 13:58:59,Borowska (Uniw. Szpital Kliniczny),Ułańska,13
319497040,590453,2026-01-06 13:51:09,2026-01-06 13:52:04,Świdnicka / Piłsudskiego (Hotel Scandic),Poza stacją,1
319497046,592236,2026-01-06 13:51:15,2026-01-06 13:55:43,Drobnera / Plac Bema,Żeromskiego / Kluczborska,4
319497096,590973,2026-01-06 13:52:26,2026-01-06 13:58:05,Świdnicka / Piłsudskiego (Hotel Scandic),Plac Jana Pawła II (Akademia Muzyczna),6
319497097,590879,2026-01-06 13:52:26,2026-01-06 14:16:07,Plac Legionów,Borowska / Kamienna (Aquapark),24
319497120,592259,2026-01-06 13:52:53,2026-01-06 14:16:23,Plac Legionów,Borowska / Kamienna (Aquapark),24
319497132,591219,2026-01-06 13:53:16,2026-01-06 14:15:55,Plac Legionów,Borowska / Kamienna (Aquapark),23
319497205,590217,2026-01-06 13:54:38,2026-01-06 14:02:52,Kozanowska / Pilczycka,Popowicka / Rysia,8
319497382,592270,2026-01-06 13:58:33,2026-01-06 14:10:48,Dworzec Główny ,Kościuszki / Pułaskiego,12
319497553,590359,2026-01-06 14:02:28,2026-01-06 14:46:47,Świeradowska (Ferio Gaj ),Nyska / Piękna,44
319497736,590765,2026-01-06 14:06:33,2026-01-06 14:12:49,Krakowska / Leroy Merlin,Piękna,6
319497760,591684,2026-01-06 14:07:00,2026-01-06 14:14:37,3M,Kwidzyńska pętla,8
319497874,592458,2026-01-06 14:09:41,2026-01-06 14:13:12,Krzycka / Aleja Karkonoska (Park Południowy),Przyjaźni / Karkonoska,4
319497886,590654,2026-01-06 14:09:56,2026-01-06 14:14:57,Ślężna / Kamienna (Uniw. Ekonomiczny),Kamienna / Tomaszowska,5
319498016,591742,2026-01-06 14:12:26,2026-01-06 14:12:54,Plac Uniwersytecki (UWr),Plac Uniwersytecki (UWr),0
319498032,590810,2026-01-06 14:12:46,2026-01-06 14:19:19,Dyrekcyjna / Borowska (Wroclavia),Kamienna / Tomaszowska,7
319498055,592655,2026-01-06 14:13:10,2026-01-06 14:26:38,Plac Uniwersytecki (UWr),Poza stacją,13
319498243,591624,2026-01-06 14:16:59,2026-01-06 14:22:36,Plac Kościuszki (Renoma),Dworzec Główny ,6
319498385,592310,2026-01-06 14:20:08,2026-01-06 14:23:13,Legnicka / Zachodnia ,Plac Strzegomski / Poznańska,3
319498508,590210,2026-01-06 14:22:38,2026-01-06 14:27:02,Bajana / Szybowcowa,Lotnicza / Na Ostatnim Groszu,4
319498544,590973,2026-01-06 14:23:18,2026-01-06 14:30:35,Plac Jana Pawła II (Akademia Muzyczna),Dworzec Główny ,7
319498559,591835,2026-01-06 14:23:35,2026-01-06 14:42:33,Wita Stwosza / Szewska,Plac Kościuszki (Renoma),19
319498716,592009,2026-01-06 14:27:30,2026-01-06 15:01:43,Lotnicza / Na Ostatnim Groszu,al. Armii Krajowej / Borowska,34
319498735,591596,2026-01-06 14:28:09,2026-01-06 14:40:11,Plac Grunwaldzki / Polaka,Kościuszki / Pułaskiego,12
319498739,592509,2026-01-06 14:28:14,2026-01-06 14:39:53,Plac Grunwaldzki / Polaka,Kościuszki / Pułaskiego,12
319498787,591305,2026-01-06 14:29:15,2026-01-06 14:34:57,Ułańska,Zwycięska / Ołtaszyńska,6
319499037,592674,2026-01-06 14:34:36,2026-01-06 14:48:23,Ślężna / Kamienna (Uniw. Ekonomiczny),Świeradowska / Krynicka,14
319499152,590056,2026-01-06 14:36:42,2026-01-06 14:47:51,Poza stacją,Poza stacją,11
319499192,590806,2026-01-06 14:37:34,2026-01-06 14:51:49,Sienkiewicza / Wyszyńskiego,Wita Stwosza / Szewska,14
319499205,592739,2026-01-06 14:37:47,2026-01-06 14:43:27,Aleja Hallera / Mielecka,Powstańcow Śląskich / Aleja Hallera,6
319499243,590633,2026-01-06 14:38:44,2026-01-06 15:35:33,Powstańcow Śląskich / Aleja Hallera,Kutrzeby / Hubala,57
319499290,590343,2026-01-06 14:39:36,2026-01-06 14:40:04,Piławska,Piławska,0
319499423,591005,2026-01-06 14:42:01,2026-01-06 14:55:59,al. Kochanowskiego / Kopernika,Plac Grunwaldzki (DS Ołówek),14
319499455,591745,2026-01-06 14:42:56,2026-01-06 14:50:53,Dworzec Główny ,Szewska / Kazimierza Wielkiego ,8
319499599,591835,2026-01-06 14:46:13,2026-01-06 14:49:29,Plac Kościuszki (Renoma),Świdnicka / Piłsudskiego (Hotel Scandic),3
319499600,590456,2026-01-06 14:46:14,2026-01-06 15:11:53,Komandorska / Kamienna,Ślężna / Aleja Wiśniowa,26
319499635,592212,2026-01-06 14:47:06,2026-01-06 14:50:42,Drobnera / Plac Bema,Pomorska/Cybulskiego,4
319499650,590487,2026-01-06 14:47:18,2026-01-06 15:11:51,Komandorska / Kamienna,Ślężna / Aleja Wiśniowa,25
319499656,590785,2026-01-06 14:47:25,2026-01-06 14:55:31,Plac Świętego Macieja / Trzebnicka,Szewska / Kazimierza Wielkiego ,8
319499690,590104,2026-01-06 14:48:03,2026-01-06 14:58:56,Poza stacją,al. Jana III Sobieskiego / stacja kolejowa,11
319499778,591277,2026-01-06 14:49:43,2026-01-06 14:55:06,Zaporoska / Grabiszyńska,Świdnicka / Piłsudskiego (Hotel Scandic),5
319500045,590217,2026-01-06 14:55:29,2026-01-06 15:08:54,Popowicka / Rysia,Popowicka / Rysia,13
319500106,590019,2026-01-06 14:56:59,2026-01-06 15:04:35,Obornicka / Bałtycka,Berenta / Kasprowicza,8
319500110,590499,2026-01-06 14:57:03,2026-01-06 15:01:43,"Paprotna / Obornicka, zajezdnia MPK",Bezpieczna / Obornicka,5
319500166,592750,2026-01-06 14:58:19,2026-01-06 15:09:20,Krzywoustego - Rynek Psie Pole,Wilanowska,11
319500183,591994,2026-01-06 14:58:49,2026-01-06 15:17:00,al. Armii Krajowej / Bardzka,Buforowa - Vivaldiego,18
319500246,591304,2026-01-06 15:00:07,2026-01-06 15:02:54,Kazimierza Wielkiego (Helios),Plac Jana Pawła II (Akademia Muzyczna),3
319500269,590769,2026-01-06 15:00:33,2026-01-06 15:11:07,Aleja Kromera,Poniatowskiego / Oleśnicka,11
319500516,592511,2026-01-06 15:05:39,2026-01-06 15:07:55,Nowowiejska / Jedności Narodowej,Żeromskiego / Daszyńskiego,2
319500774,592149,2026-01-06 15:10:48,2026-01-06 15:18:45,Racławicka / Rymarska,Aleja Hallera / Mielecka,8
319500802,590760,2026-01-06 15:11:26,2026-01-06 15:29:02,Jedności Narodowej / Wyszyńskiego,Plac Dominikański (Galeria Dominikańska),18
319500838,590365,2026-01-06 15:11:53,2026-01-06 15:20:38,Zaporoska / Grabiszyńska,Legnicka / Młodych Techników,9
319500955,590701,2026-01-06 15:14:15,2026-01-06 15:31:30,"Paprotna / Obornicka, zajezdnia MPK",pl. Orląt Lwowskich,17
319501108,591835,2026-01-06 15:17:50,2026-01-06 15:23:56,Świdnicka / Piłsudskiego (Hotel Scandic),"Dworzec Główny, południe",6
319501198,590972,2026-01-06 15:19:40,2026-01-06 15:22:38,Kościuszki / Pułaskiego,Traugutta / Pułaskiego,3
319501246,591514,2026-01-06 15:20:39,2026-01-06 15:29:51,Ślęza Parkowa,Bielany Wrocławskie Kolejowa P&R,9
319501362,592775,2026-01-06 15:23:03,2026-01-06 15:30:22,Otyńska / Traktatowa,Poza stacją,7
319501577,592410,2026-01-06 15:27:38,2026-01-06 15:39:21,Rogowska / Zemska,Graniczna / Strzegomska,12
319501767,590421,2026-01-06 15:31:20,2026-01-06 15:37:52,Komandorska / Kamienna,Borowska / Kamienna (Aquapark),7
319501790,590470,2026-01-06 15:31:53,2026-01-06 15:47:10,Awicenny,Klecińska (Wrocław Grabiszyn),15
319501799,590701,2026-01-06 15:32:07,2026-01-06 15:43:35,pl. Orląt Lwowskich,Grabiszyńska / Aleja Hallera,11
319502028,591042,2026-01-06 15:36:32,2026-01-06 15:51:04,Plac Jana Pawła II (Akademia Muzyczna),Kościuszki / Pułaskiego,15
319502509,590468,2026-01-06 15:46:13,2026-01-06 15:46:34,Skarbowców / Wietrzna,Skarbowców / Wietrzna,0
319502523,592479,2026-01-06 15:46:26,2026-01-06 15:54:27,Skarbowców / Wietrzna,Racławicka / Rymarska,8
319502541,592214,2026-01-06 15:46:44,2026-01-06 15:54:39,Skarbowców / Wietrzna,Racławicka / Rymarska,8
319502565,592562,2026-01-06 15:47:08,2026-01-06 15:56:03,Pereca / Grabiszyńska,Plac Powstańców Śląskich,9
319502714,591865,2026-01-06 15:50:07,2026-01-06 15:57:49,Gajowicka,Racławicka / Rymarska,8
319502715,591023,2026-01-06 15:50:08,2026-01-06 16:03:10,Kościuszki / Komuny Paryskiej / Zgodna,Komandorska / Kamienna,13
319502867,592920,2026-01-06 15:52:56,2026-01-06 16:01:30,Plac Jana Pawła II (Akademia Muzyczna),Plac Kościuszki (Renoma),9
319502872,590972,2026-01-06 15:53:05,2026-01-06 16:03:54,Traugutta / Pułaskiego,Rynek,11
319502930,591070,2026-01-06 15:54:07,2026-01-06 16:05:17,Plac Dominikański (Galeria Dominikańska),pl. Staszica,11
319503009,591050,2026-01-06 15:55:41,2026-01-06 16:04:34,Rakowiecka,Krakowska / Leroy Merlin,9
319503075,590596,2026-01-06 15:56:45,2026-01-06 16:02:24,Waniliowa / Cynamonowa,Księgarska / Dekarska / Zduńska,6
319503117,591825,2026-01-06 15:57:41,2026-01-06 16:11:06,Aleja Bielany,al. Karkonoska / Jeździecka,13
319503364,590169,2026-01-06 16:01:54,2026-01-06 16:21:26,Świeradowska (Ferio Gaj ),Powstańcow Śląskich / Aleja Hallera,20
319503390,592739,2026-01-06 16:02:19,2026-01-06 16:10:44,Powstańcow Śląskich / Aleja Hallera,Powstańców Śląskich/Orla,8
319503392,591255,2026-01-06 16:02:21,2026-01-06 16:18:29,Piaskowa / św. Ducha,al. Armii Krajowej / Borowska,16
319503398,592736,2026-01-06 16:02:43,2026-01-06 16:16:28,Lekarska/Żmigrodzka,Kamieńskiego,14
319503497,591082,2026-01-06 16:04:07,2026-01-06 16:23:09,Plac Grunwaldzki / Polaka,Sienkiewicza / Wyszyńskiego,19
319503499,591131,2026-01-06 16:04:09,2026-01-06 16:20:51,Borowska / Kamienna (Aquapark),Aleja Hallera / Mielecka,17
319503805,592840,2026-01-06 16:09:23,2026-01-06 16:57:08,Centrum Handlowe Auchan Bielany,Plac Uniwersytecki (UWr),48
319504045,590238,2026-01-06 16:13:33,2026-01-06 16:28:58,Rakowiecka,Nowowiejska / Górnickiego,15
319504152,591651,2026-01-06 16:15:09,2026-01-06 17:01:50,"Dworzec Główny, południe",Stabłowicka / Główna ,47
319504226,592837,2026-01-06 16:16:14,2026-01-06 16:23:17,Dworzec Główny ,Zaporoska / Grabiszyńska,7
319504533,590810,2026-01-06 16:21:16,2026-01-06 16:30:54,Kamienna / Tomaszowska,Nyska / Piękna,10
319504621,592212,2026-01-06 16:22:56,2026-01-06 16:30:32,Pomorska/Cybulskiego,Sienkiewicza / Wyszyńskiego,8
319504676,591187,2026-01-06 16:23:57,2026-01-06 16:36:33,Przyjaźni,Wysoka/Nastrojowa,13
319504744,590785,2026-01-06 16:24:58,2026-01-06 16:36:19,Szewska / Kazimierza Wielkiego ,pl. Orląt Lwowskich,11
319504831,592445,2026-01-06 16:26:27,2026-01-06 16:32:32,Kościuszki / Pułaskiego,Plac Dominikański (Galeria Dominikańska),6
319504929,591745,2026-01-06 16:27:49,2026-01-06 16:45:40,Szewska / Kazimierza Wielkiego ,al. Armii Krajowej / Borowska,18
319505003,592360,2026-01-06 16:28:47,2026-01-06 16:39:10,Wyszyńskiego / Szczytnicka,Dworzec Główny ,10
319505051,591112,2026-01-06 16:29:29,2026-01-06 16:32:17,Poza stacją,Sienkiewicza / Piastowska,3
319505053,590451,2026-01-06 16:29:30,2026-01-06 16:56:27,Legnicka / Młodych Techników,Lotnicza / Metalowców,27
319505130,592053,2026-01-06 16:30:53,2026-01-06 16:42:38,Plac Powstańców Śląskich,Racławicka / Rymarska,12
319505270,592211,2026-01-06 16:33:06,2026-01-06 16:39:05,Krakowska / Leroy Merlin,Piękna,6
319505785,592837,2026-01-06 16:41:12,2026-01-06 16:49:47,Zaporoska / Grabiszyńska,Szewska / Kazimierza Wielkiego ,9
319505900,590794,2026-01-06 16:42:45,2026-01-06 16:53:36,Powstańcow Śląskich / Aleja Hallera,Hallera / Odkrywców,11
319506166,592133,2026-01-06 16:46:38,2026-01-06 16:56:36,Jagiełły / Dmowskiego ,pl. Orląt Lwowskich,10
319506370,590303,2026-01-06 16:49:30,2026-01-06 17:04:19,Wałbrzyska - pętla tramwajowa,Aleja Bielany,15
319506458,590543,2026-01-06 16:50:41,2026-01-06 16:57:19,Akademia Wojsk Lądowych,Żmigrodzka / Broniewskiego,7
319506478,591047,2026-01-06 16:51:00,2026-01-06 16:57:58,Ślężna / Aleja Wiśniowa,al. Armii Krajowej / Borowska,7
319506522,592775,2026-01-06 16:51:39,2026-01-06 16:59:41,Poza stacją,Otyńska / Traktatowa,8
319506732,590141,2026-01-06 16:54:58,2026-01-06 17:12:29,Klecińska (Wrocław Grabiszyn),Awicenny,18
319506964,591825,2026-01-06 16:58:19,2026-01-06 17:05:34,al. Karkonoska / Jeździecka,Zwycięska / Agrestowa,7
319507014,590002,2026-01-06 16:59:07,2026-01-06 17:03:17,al. Brücknera / Kwidzyńska,Aleja Kromera,4
319507334,591294,2026-01-06 17:03:47,2026-01-06 17:11:27,Żeromskiego / Daszyńskiego,Drobnera / Plac Bema,8
319507406,590303,2026-01-06 17:04:55,2026-01-06 17:13:42,Aleja Bielany,Amazon WRO1,9
319507672,590784,2026-01-06 17:08:40,2026-01-06 17:24:33,Maślicka / Stodolna,Stabłowicka / Główna ,16
319507764,592706,2026-01-06 17:09:58,2026-01-06 17:41:10,al. Armii Krajowej / Bardzka,Świeradowska (Ferio Gaj ),31
319507909,590678,2026-01-06 17:12:13,2026-01-06 17:21:29,Drobnera / Plac Bema,Plac Jana Pawła II (Akademia Muzyczna),9
319507930,591274,2026-01-06 17:12:26,2026-01-06 17:25:10,al. Kochanowskiego / Śniadeckich ,Sienkiewicza / Wyszyńskiego,13
319508159,590805,2026-01-06 17:15:53,2026-01-06 17:35:07,pl. Orląt Lwowskich,Szczęśliwa (Sky Tower),19
319508183,592123,2026-01-06 17:16:09,2026-01-06 17:53:47,Awicenny,Popowicka / Rysia,38
319508314,590094,2026-01-06 17:17:47,2026-01-06 17:31:34,Dworzec Główny ,Legnicka / Młodych Techników,14
319508533,591050,2026-01-06 17:21:27,2026-01-06 17:30:23,Krakowska / Leroy Merlin,Rakowiecka,9
319508681,590385,2026-01-06 17:23:35,2026-01-06 17:27:04,Krzycka / Aleja Karkonoska (Park Południowy),Przyjaźni / Karkonoska,3
319508707,591212,2026-01-06 17:23:54,2026-01-06 17:26:10,Poza stacją,Kościuszki / Pułaskiego,2
319509003,591274,2026-01-06 17:28:02,2026-01-06 17:28:26,Sienkiewicza / Wyszyńskiego,Sienkiewicza / Wyszyńskiego,0
319509075,591274,2026-01-06 17:29:07,2026-01-06 17:41:49,Sienkiewicza / Wyszyńskiego,Pomorska/Cybulskiego,13
319509264,591350,2026-01-06 17:31:54,2026-01-06 17:39:30,Bajana / Szybowcowa,Kozanowska / Pilczycka,8
319509326,592053,2026-01-06 17:32:52,2026-01-06 17:37:39,Racławicka / Rymarska,Gajowicka,5
319509406,592243,2026-01-06 17:33:55,2026-01-06 17:38:14,Akademia Wojsk Lądowych,Berenta / Kasprowicza,4
319509695,591192,2026-01-06 17:38:32,2026-01-06 17:47:56,Grochowa / Jemiołowa,Grabiszyńska / Aleja Hallera,9
319509929,590169,2026-01-06 17:41:46,2026-01-06 17:54:19,Powstańcow Śląskich / Aleja Hallera,Hallera / Odkrywców,13
319509933,592212,2026-01-06 17:41:46,2026-01-06 17:49:31,Sienkiewicza / Wyszyńskiego,Pomorska/Cybulskiego,8
319510346,592010,2026-01-06 17:47:47,2026-01-06 17:48:24,Grabiszyńska / Stalowa,Grabiszyńska / Stalowa,1
319510417,591504,2026-01-06 17:48:43,2026-01-06 17:49:16,Grabiszyńska / Stalowa,Grabiszyńska / Stalowa,1
319510868,590169,2026-01-06 17:55:10,2026-01-06 18:03:42,Hallera / Odkrywców,Oporów (pętla tramwajowa),9
319511014,590880,2026-01-06 17:57:06,2026-01-06 18:02:35,Piaskowa / św. Ducha,Plac Uniwersytecki (UWr),5
319511145,590119,2026-01-06 17:58:49,2026-01-06 18:09:11,Kołłątaja / Podwale,Traugutta / Kościuszki,10
319511153,590141,2026-01-06 17:58:53,2026-01-06 18:19:48,Awicenny,Poza stacją,21
319511240,590921,2026-01-06 18:00:09,2026-01-06 18:01:33,Szczęśliwa (Sky Tower),Szczęśliwa (Sky Tower),1
319511356,590478,2026-01-06 18:01:51,2026-01-06 18:11:11,Szczęśliwa (Sky Tower),Poza stacją,9
319511447,591062,2026-01-06 18:03:03,2026-01-06 18:06:01,"Dworzec Główny, południe","Dworzec Główny, południe",3
319511634,590805,2026-01-06 18:05:54,2026-01-06 18:23:03,Szczęśliwa (Sky Tower),Skarbowców / Wietrzna,17
319511651,591671,2026-01-06 18:06:10,2026-01-06 18:21:38,"Dworzec Główny, południe",Grabiszyńska / Stalowa,15
319511732,592002,2026-01-06 18:07:20,2026-01-06 18:10:27,Szewska / Kazimierza Wielkiego ,Rynek,3
319512165,592468,2026-01-06 18:14:01,2026-01-06 18:21:14,Żelazna / Pereca,Grabiszyńska / Magazynierska (Corte Verona),7
319512210,590399,2026-01-06 18:14:43,2026-01-06 18:36:50,Szczęśliwa (Sky Tower),pl. Orląt Lwowskich,22
319512650,591532,2026-01-06 18:20:46,2026-01-06 18:32:43,Plac Kościuszki (Renoma),Zaporoska / Grabiszyńska,12
319513512,592254,2026-01-06 18:34:37,2026-01-06 18:44:59,Kościuszki / Pułaskiego,Piękna,10
319513658,590096,2026-01-06 18:36:54,2026-01-06 18:42:38,Krakowska / Leroy Merlin,Karwińska / Opolska,6
319513665,590187,2026-01-06 18:37:03,2026-01-06 18:42:42,Krakowska / Leroy Merlin,Karwińska / Opolska,6
319513699,591777,2026-01-06 18:37:37,2026-01-06 18:53:27,Żernicka,Drzewieckiego / Dedala,16
319514003,591806,2026-01-06 18:42:27,2026-01-06 18:49:20,Grabiszyńska / Magazynierska (Corte Verona),Żelazna / Pereca,7
319514228,590104,2026-01-06 18:45:53,2026-01-06 18:51:51,al. Jana III Sobieskiego / stacja kolejowa,Zatorska / Królewska - pętla MPK,6
319514315,591223,2026-01-06 18:47:06,2026-01-06 18:53:39,Wyszyńskiego / Szczytnicka,Piaskowa / św. Ducha,7
319514361,591877,2026-01-06 18:48:01,2026-01-06 18:52:10,Stacyjna (Dworzec Mikołajów),Legnicka / Zachodnia ,4
319514390,591418,2026-01-06 18:48:31,2026-01-06 18:52:13,Stacyjna (Dworzec Mikołajów),Legnicka / Zachodnia ,4
319514599,590397,2026-01-06 18:51:43,2026-01-06 19:11:39,Nyska / Piękna,Aleja Hallera / Mielecka,20
319515058,590880,2026-01-06 18:59:22,2026-01-06 19:06:10,Plac Uniwersytecki (UWr),Drobnera / Plac Bema,7
319515304,591005,2026-01-06 19:03:11,2026-01-06 19:50:16,Plac Grunwaldzki (DS Ołówek),Plac Grunwaldzki (DS Ołówek),47
319515433,590705,2026-01-06 19:04:52,2026-01-06 19:21:44,Borowska (Uniw. Szpital Kliniczny),"Dworzec Główny, południe",17
319515904,591919,2026-01-06 19:13:08,2026-01-06 19:33:29,Borowska / Kamienna (Aquapark),Świeradowska / Krynicka,20
319515935,590456,2026-01-06 19:13:35,2026-01-06 19:24:53,Ślężna / Aleja Wiśniowa,Krucza / Mielecka / Stalowa,11
319515970,591806,2026-01-06 19:14:07,2026-01-06 19:16:27,Żelazna / Pereca,Grochowa / Jemiołowa,2
319516051,591777,2026-01-06 19:15:19,2026-01-06 19:28:29,Drzewieckiego / Dedala,Legnicka / Zachodnia ,13
319516056,590002,2026-01-06 19:15:21,2026-01-06 19:22:09,Aleja Kromera,Krzywoustego / Korona,7
319516172,590478,2026-01-06 19:17:14,2026-01-06 19:26:02,Poza stacją,al. Armii Krajowej / Bardzka,9
319516369,592123,2026-01-06 19:20:51,2026-01-06 20:00:45,Popowicka / Rysia,Awicenny,40
319516398,592920,2026-01-06 19:21:16,2026-01-06 19:21:36,Plac Kościuszki (Renoma),Plac Kościuszki (Renoma),0
319516408,592212,2026-01-06 19:21:28,2026-01-06 19:29:40,Pomorska/Cybulskiego,Sienkiewicza / Wyszyńskiego,8
319516468,592920,2026-01-06 19:22:20,2026-01-06 19:22:31,Plac Kościuszki (Renoma),Plac Kościuszki (Renoma),0
319516562,590425,2026-01-06 19:23:58,2026-01-06 19:27:48,Zwycięska / Agrestowa,Ułańska,4
319516631,590535,2026-01-06 19:25:11,2026-01-06 19:30:17,Krucza / Mielecka / Stalowa,Grabiszyńska / Magazynierska (Corte Verona),5
319516904,590012,2026-01-06 19:30:13,2026-01-06 19:54:24,Gazowa / Międzyleska,pl. Orląt Lwowskich,24
319516921,590367,2026-01-06 19:30:37,2026-01-06 20:16:35,Grota-Roweckiego / Parafialna,Grota-Roweckiego / Parafialna,46
319517015,592236,2026-01-06 19:32:43,2026-01-06 19:49:45,Żeromskiego / Kluczborska,Rynek,17
319517159,590304,2026-01-06 19:35:16,2026-01-06 19:48:27,Przyjaźni / Karkonoska,Kutrzeby / Hubala,13
319517214,590806,2026-01-06 19:36:20,2026-01-06 19:44:50,Wita Stwosza / Szewska,Legnicka / Młodych Techników,9
319517241,591350,2026-01-06 19:36:48,2026-01-06 19:45:19,Kozanowska / Pilczycka,Bajana / Szybowcowa,9
319517344,590805,2026-01-06 19:38:28,2026-01-06 19:55:36,Skarbowców / Wietrzna,Szczęśliwa (Sky Tower),17
319517522,591863,2026-01-06 19:41:41,2026-01-06 20:04:57,Nyska / Piękna,Nyska / Piękna,23
319517636,590983,2026-01-06 19:43:54,2026-01-06 19:47:57,Borowska / Kamienna (Aquapark),Komandorska / Kamienna,4
319517666,592264,2026-01-06 19:44:17,2026-01-06 19:58:26,"Dworzec Główny, południe",Grochowa / Jemiołowa,14
319517820,591062,2026-01-06 19:47:15,2026-01-06 19:47:55,"Dworzec Główny, południe","Dworzec Główny, południe",1
319517869,592116,2026-01-06 19:48:11,2026-01-06 19:58:31,"Dworzec Główny, południe",Bardzka / Piękna,10
319517936,590421,2026-01-06 19:49:35,2026-01-06 19:56:19,Borowska / Kamienna (Aquapark),Komandorska / Kamienna,7
319518111,590662,2026-01-06 19:53:11,2026-01-06 20:02:09,Jagiełły / Dmowskiego ,Poza stacją,9
319518190,590633,2026-01-06 19:55:03,2026-01-06 20:00:56,Kutrzeby / Hubala,Poza stacją,6
319518720,590399,2026-01-06 20:05:16,2026-01-06 20:09:45,pl. Orląt Lwowskich,Plac Jana Pawła II (Akademia Muzyczna),4
319518845,591825,2026-01-06 20:07:39,2026-01-06 20:11:05,Zwycięska / Agrestowa,Ułańska,3
319518912,591047,2026-01-06 20:09:11,2026-01-06 20:24:13,al. Armii Krajowej / Borowska,Piaskowa / św. Ducha,15
319518970,591139,2026-01-06 20:10:10,2026-01-06 20:20:48,Dworzec Główny ,Plac Świętego Macieja / Trzebnicka,11
319519254,592754,2026-01-06 20:16:34,2026-01-06 20:30:23,Dyrekcyjna / Borowska (Wroclavia),Ślężna / Skierniewicka,14
319519325,591110,2026-01-06 20:18:08,2026-01-06 20:18:36,Pereca / Grabiszyńska,Pereca / Grabiszyńska,0
319519354,591330,2026-01-06 20:18:49,2026-01-06 20:29:16,Pereca / Grabiszyńska,Kazimierza Wielkiego (Helios),10
319519551,591259,2026-01-06 20:23:17,2026-01-06 20:42:09,al. Kochanowskiego / Kopernika,Partyzantów / Okrzei,19
319519662,592650,2026-01-06 20:25:45,2026-01-06 20:32:19,Pereca / Grabiszyńska,Kazimierza Wielkiego (Helios),7
319519665,592410,2026-01-06 20:25:50,2026-01-06 20:29:05,Graniczna / Strzegomska,Strzegomska / Rogowska ,3
319519799,592937,2026-01-06 20:28:57,2026-01-06 21:25:42,Sienkiewicza / Piastowska,Sienkiewicza / Piastowska,57
319520142,590825,2026-01-06 20:37:46,2026-01-06 20:52:15,Grochowa / Jemiołowa,Rynek,14
319520188,590119,2026-01-06 20:38:39,2026-01-06 20:51:28,Traugutta / Kościuszki,Kamienna / Tomaszowska,13
319520322,590525,2026-01-06 20:41:57,2026-01-06 20:56:07,Krzywoustego / Korona,Aleja Kromera,14
319520358,590513,2026-01-06 20:42:42,2026-01-06 20:48:43,Kozanowska/Pałucka,Kozanowska / Pilczycka,6
319520518,592053,2026-01-06 20:47:04,2026-01-06 20:52:13,Gajowicka,Racławicka / Rymarska,5
319520543,591598,2026-01-06 20:47:38,2026-01-06 21:17:06,Okulickiego,Okulickiego,29
319520552,592236,2026-01-06 20:47:51,2026-01-06 20:48:03,Rynek,Rynek,0
319520667,590468,2026-01-06 20:50:36,2026-01-06 20:59:29,Skarbowców / Wietrzna,Skarbowców / Wietrzna,9
319520670,592236,2026-01-06 20:50:41,2026-01-06 21:08:55,Rynek,Żeromskiego / Kluczborska,18
319520764,590825,2026-01-06 20:53:23,2026-01-06 21:02:05,Rynek,Plac Świętego Macieja / Trzebnicka,9
319520776,592336,2026-01-06 20:53:36,2026-01-06 21:07:20,Rynek,Grochowa / Jemiołowa,14
319520856,592426,2026-01-06 20:55:55,2026-01-06 21:03:54,Aleja Hallera / Mielecka,Hallera / Odkrywców,8
319520862,591131,2026-01-06 20:56:05,2026-01-06 21:03:55,Aleja Hallera / Mielecka,Hallera / Odkrywców,8
319520864,590480,2026-01-06 20:56:10,2026-01-06 21:15:19,Borowska / Kamienna (Aquapark),Jagodzińska / Buforowa,19
319520914,591062,2026-01-06 20:57:34,2026-01-06 20:58:12,"Dworzec Główny, południe","Dworzec Główny, południe",1
319520947,591284,2026-01-06 20:58:23,2026-01-06 21:03:49,"Dworzec Główny, południe",Hubska / Prudnicka,5
319521028,591274,2026-01-06 21:00:20,2026-01-06 21:06:10,Pomorska/Cybulskiego,Drobnera / Plac Bema,6
319521236,592393,2026-01-06 21:05:47,2026-01-06 21:11:05,al. Armii Krajowej / Bardzka,Kamienna / Tomaszowska,5
319521304,592706,2026-01-06 21:07:35,2026-01-06 21:17:34,Świeradowska (Ferio Gaj ),Ślężna / Aleja Wiśniowa,10
319521308,590654,2026-01-06 21:07:39,2026-01-06 21:14:36,Kamienna / Tomaszowska,Ślężna / Aleja Wiśniowa,7
319521388,591624,2026-01-06 21:09:34,2026-01-06 21:23:46,Dworzec Główny ,Grabiszyńska / Stalowa,14
319521432,590852,2026-01-06 21:10:36,2026-01-06 21:21:47,Pereca / Grabiszyńska,Rynek,11
319521474,592264,2026-01-06 21:11:31,2026-01-06 21:23:10,Grochowa / Jemiołowa,Ślężna / Kamienna (Uniw. Ekonomiczny),12
319521614,590456,2026-01-06 21:15:26,2026-01-06 22:01:01,Krucza / Mielecka / Stalowa,Krucza / Mielecka / Stalowa,46
319521712,592706,2026-01-06 21:18:07,2026-01-06 21:31:01,Ślężna / Aleja Wiśniowa,Grabiszyńska / Stalowa,13
319521734,591363,2026-01-06 21:18:35,2026-01-06 21:29:46,Poza stacją,Borowska / Kamienna (Aquapark),11
319521842,592779,2026-01-06 21:22:17,2026-01-06 21:22:29,Rynek,Rynek,0
